cohort,quarter,date,day_of_quarter,downloads,cum_downloads
control,2020Q4,2020-10-21,21,463998,7211808
control,2020Q4,2020-10-22,22,466149,7677957
control,2020Q4,2020-10-23,23,399605,8077562
control,2020Q4,2020-10-24,24,134840,8212402
control,2020Q4,2020-10-25,25,130857,8343259
control,2020Q4,2020-10-26,26,427784,8771043
control,2020Q4,2020-10-27,27,488524,9259567
control,2020Q4,2020-10-28,28,460667,9720234
control,2020Q4,2020-10-29,29,463825,10184059
control,2020Q4,2020-10-30,30,377544,10561603
control,2020Q4,2020-10-31,31,109537,10671140
control,2020Q4,2020-11-01,32,118990,10790130
control,2020Q4,2020-11-02,33,408105,11198235
control,2020Q4,2020-11-03,34,439021,11637256
control,2020Q4,2020-11-04,35,428071,12065327
control,2020Q4,2020-11-05,36,460733,12526060
control,2020Q4,2020-11-06,37,391335,12917395
control,2020Q4,2020-11-07,38,114450,13031845
control,2020Q4,2020-11-08,39,109943,13141788
control,2020Q4,2020-11-09,40,428298,13570086
control,2020Q4,2020-11-10,41,452167,14022253
control,2020Q4,2020-11-11,42,406359,14428612
control,2020Q4,2020-11-12,43,434383,14862995
control,2020Q4,2020-11-13,44,399478,15262473
control,2020Q4,2020-11-14,45,121102,15383575
control,2020Q4,2020-11-15,46,114541,15498116
control,2020Q4,2020-11-16,47,424381,15922497
control,2020Q4,2020-11-17,48,458345,16380842
control,2020Q4,2020-11-18,49,459778,16840620
control,2020Q4,2020-11-19,50,465021,17305641
control,2020Q4,2020-11-20,51,418188,17723829
control,2020Q4,2020-11-21,52,120995,17844824
control,2020Q4,2020-11-22,53,119653,17964477
control,2020Q4,2020-11-23,54,430305,18394782
control,2020Q4,2020-11-24,55,465368,18860150
control,2020Q4,2020-11-25,56,434069,19294219
control,2020Q4,2020-11-26,57,346586,19640805
control,2020Q4,2020-11-27,58,278025,19918830
control,2020Q4,2020-11-28,59,102747,20021577
control,2020Q4,2020-11-29,60,112531,20134108
control,2020Q4,2020-11-30,61,414929,20549037
control,2020Q4,2020-12-01,62,461490,21010527
control,2020Q4,2020-12-02,63,467775,21478302
control,2020Q4,2020-12-03,64,460309,21938611
control,2020Q4,2020-12-04,65,396231,22334842
control,2020Q4,2020-12-05,66,121112,22455954
control,2020Q4,2020-12-06,67,113223,22569177
control,2020Q4,2020-12-07,68,437735,23006912
control,2020Q4,2020-12-08,69,467313,23474225
control,2020Q4,2020-12-09,70,470091,23944316
control,2020Q4,2020-12-10,71,481869,24426185
control,2020Q4,2020-12-11,72,425954,24852139
control,2020Q4,2020-12-12,73,121766,24973905
control,2020Q4,2020-12-13,74,113114,25087019
control,2020Q4,2020-12-14,75,458019,25545038
control,2020Q4,2020-12-15,76,474773,26019811
control,2020Q4,2020-12-16,77,511013,26530824
control,2020Q4,2020-12-17,78,475318,27006142
control,2020Q4,2020-12-18,79,411874,27418016
control,2020Q4,2020-12-19,80,125377,27543393
control,2020Q4,2020-12-20,81,114836,27658229
control,2020Q4,2020-12-21,82,390948,28049177
control,2020Q4,2020-12-22,83,408255,28457432
control,2020Q4,2020-12-23,84,363510,28820942
control,2020Q4,2020-12-24,85,219316,29040258
control,2020Q4,2020-12-25,86,120559,29160817
control,2020Q4,2020-12-26,87,100743,29261560
control,2020Q4,2020-12-27,88,119575,29381135
control,2020Q4,2020-12-28,89,277944,29659079
control,2020Q4,2020-12-29,90,287278,29946357
control,2020Q4,2020-12-30,91,278891,30225248
control,2020Q4,2020-12-31,92,204551,30429799
control,2021Q1,2021-01-01,1,125562,125562
control,2021Q1,2021-01-02,2,111294,236856
control,2021Q1,2021-01-03,3,128524,365380
control,2021Q1,2021-01-04,4,434642,800022
control,2021Q1,2021-01-05,5,495305,1295327
control,2021Q1,2021-01-06,6,472347,1767674
control,2021Q1,2021-01-07,7,503828,2271502
control,2021Q1,2021-01-08,8,462366,2733868
control,2021Q1,2021-01-09,9,132763,2866631
control,2021Q1,2021-01-10,10,135270,3001901
control,2021Q1,2021-01-11,11,534283,3536184
control,2021Q1,2021-01-12,12,574386,4110570
control,2021Q1,2021-01-13,13,559428,4669998
control,2021Q1,2021-01-14,14,554480,5224478
control,2021Q1,2021-01-15,15,526208,5750686
control,2021Q1,2021-01-16,16,151157,5901843
control,2021Q1,2021-01-17,17,148417,6050260
control,2021Q1,2021-01-18,18,475391,6525651
control,2021Q1,2021-01-19,19,555170,7080821
control,2021Q1,2021-01-20,20,594744,7675565
control,2021Q1,2021-01-21,21,606234,8281799
control,2021Q1,2021-01-22,22,364615,8646414
control,2021Q1,2021-01-23,23,150591,8797005
control,2021Q1,2021-01-24,24,149866,8946871
control,2021Q1,2021-01-25,25,601394,9548265
control,2021Q1,2021-01-26,26,616077,10164342
control,2021Q1,2021-01-27,27,613248,10777590
control,2021Q1,2021-01-28,28,594236,11371826
control,2021Q1,2021-01-29,29,544803,11916629
control,2021Q1,2021-01-30,30,178960,12095589
control,2021Q1,2021-01-31,31,175254,12270843
control,2021Q1,2021-02-01,32,638774,12909617
control,2021Q1,2021-02-02,33,644052,13553669
control,2021Q1,2021-02-03,34,659127,14212796
control,2021Q1,2021-02-04,35,655992,14868788
control,2021Q1,2021-02-05,36,577931,15446719
control,2021Q1,2021-02-06,37,180426,15627145
control,2021Q1,2021-02-07,38,186843,15813988
control,2021Q1,2021-02-08,39,621825,16435813
control,2021Q1,2021-02-09,40,678459,17114272
control,2021Q1,2021-02-10,41,668871,17783143
control,2021Q1,2021-02-11,42,635714,18418857
control,2021Q1,2021-02-12,43,573519,18992376
control,2021Q1,2021-02-13,44,185765,19178141
control,2021Q1,2021-02-14,45,171731,19349872
control,2021Q1,2021-02-15,46,538783,19888655
control,2021Q1,2021-02-16,47,629534,20518189
control,2021Q1,2021-02-17,48,670127,21188316
control,2021Q1,2021-02-18,49,679302,21867618
control,2021Q1,2021-02-19,50,606666,22474284
control,2021Q1,2021-02-20,51,183836,22658120
control,2021Q1,2021-02-21,52,164335,22822455
control,2021Q1,2021-02-22,53,671616,23494071
control,2021Q1,2021-02-23,54,704786,24198857
control,2021Q1,2021-02-24,55,705001,24903858
control,2021Q1,2021-02-25,56,679713,25583571
control,2021Q1,2021-02-26,57,593615,26177186
control,2021Q1,2021-02-27,58,184878,26362064
control,2021Q1,2021-02-28,59,183095,26545159
control,2021Q1,2021-03-01,60,685236,27230395
control,2021Q1,2021-03-02,61,717823,27948218
control,2021Q1,2021-03-03,62,716417,28664635
control,2021Q1,2021-03-04,63,705401,29370036
control,2021Q1,2021-03-05,64,606287,29976323
control,2021Q1,2021-03-06,65,172331,30148654
control,2021Q1,2021-03-07,66,179173,30327827
control,2021Q1,2021-03-08,67,651146,30978973
control,2021Q1,2021-03-09,68,711280,31690253
control,2021Q1,2021-03-10,69,710960,32401213
control,2021Q1,2021-03-11,70,708993,33110206
control,2021Q1,2021-03-12,71,612963,33723169
control,2021Q1,2021-03-13,72,176265,33899434
control,2021Q1,2021-03-14,73,176395,34075829
control,2021Q1,2021-03-15,74,680569,34756398
control,2021Q1,2021-03-16,75,734329,35490727
control,2021Q1,2021-03-17,76,691521,36182248
control,2021Q1,2021-03-18,77,678051,36860299
control,2021Q1,2021-03-19,78,592660,37452959
control,2021Q1,2021-03-20,79,166937,37619896
control,2021Q1,2021-03-21,80,178013,37797909
control,2021Q1,2021-03-22,81,674889,38472798
control,2021Q1,2021-03-23,82,681043,39153841
control,2021Q1,2021-03-24,83,692924,39846765
control,2021Q1,2021-03-25,84,682957,40529722
control,2021Q1,2021-03-26,85,608867,41138589
control,2021Q1,2021-03-27,86,181601,41320190
control,2021Q1,2021-03-28,87,168932,41489122
control,2021Q1,2021-03-29,88,685119,42174241
control,2021Q1,2021-03-30,89,738042,42912283
control,2021Q1,2021-03-31,90,744596,43656879
control,2021Q2,2021-04-01,1,695895,695895
control,2021Q2,2021-04-02,2,454248,1150143
control,2021Q2,2021-04-03,3,154867,1305010
control,2021Q2,2021-04-04,4,151071,1456081
control,2021Q2,2021-04-05,5,509309,1965390
control,2021Q2,2021-04-06,6,719831,2685221
control,2021Q2,2021-04-07,7,738088,3423309
control,2021Q2,2021-04-08,8,722284,4145593
control,2021Q2,2021-04-09,9,644889,4790482
control,2021Q2,2021-04-10,10,170449,4960931
control,2021Q2,2021-04-11,11,176279,5137210
control,2021Q2,2021-04-12,12,705719,5842929
control,2021Q2,2021-04-13,13,722869,6565798
control,2021Q2,2021-04-14,14,725239,7291037
control,2021Q2,2021-04-15,15,732105,8023142
control,2021Q2,2021-04-16,16,646143,8669285
control,2021Q2,2021-04-17,17,177386,8846671
control,2021Q2,2021-04-18,18,181355,9028026
control,2021Q2,2021-04-19,19,705477,9733503
control,2021Q2,2021-04-20,20,758591,10492094
control,2021Q2,2021-04-21,21,741899,11233993
control,2021Q2,2021-04-22,22,798999,12032992
control,2021Q2,2021-04-23,23,700611,12733603
control,2021Q2,2021-04-24,24,192395,12925998
control,2021Q2,2021-04-25,25,199699,13125697
control,2021Q2,2021-04-26,26,776048,13901745
control,2021Q2,2021-04-27,27,798969,14700714
control,2021Q2,2021-04-28,28,851065,15551779
control,2021Q2,2021-04-29,29,807656,16359435
control,2021Q2,2021-04-30,30,688990,17048425
control,2021Q2,2021-05-01,31,219168,17267593
control,2021Q2,2021-05-02,32,195394,17462987
control,2021Q2,2021-05-03,33,668939,18131926
control,2021Q2,2021-05-04,34,771715,18903641
control,2021Q2,2021-05-05,35,796128,19699769
control,2021Q2,2021-05-06,36,813112,20512881
control,2021Q2,2021-05-07,37,742710,21255591
control,2021Q2,2021-05-08,38,227310,21482901
control,2021Q2,2021-05-09,39,218603,21701504
control,2021Q2,2021-05-10,40,843698,22545202
control,2021Q2,2021-05-11,41,865198,23410400
control,2021Q2,2021-05-12,42,837175,24247575
control,2021Q2,2021-05-13,43,708806,24956381
control,2021Q2,2021-05-14,44,648635,25605016
control,2021Q2,2021-05-15,45,190183,25795199
control,2021Q2,2021-05-16,46,176736,25971935
control,2021Q2,2021-05-17,47,788859,26760794
control,2021Q2,2021-05-18,48,851342,27612136
control,2021Q2,2021-05-19,49,857458,28469594
control,2021Q2,2021-05-20,50,861345,29330939
control,2021Q2,2021-05-21,51,707221,30038160
control,2021Q2,2021-05-22,52,191839,30229999
control,2021Q2,2021-05-23,53,184065,30414064
control,2021Q2,2021-05-24,54,726160,31140224
control,2021Q2,2021-05-25,55,872159,32012383
control,2021Q2,2021-05-26,56,855465,32867848
control,2021Q2,2021-05-27,57,835550,33703398
control,2021Q2,2021-05-28,58,711286,34414684
control,2021Q2,2021-05-29,59,190853,34605537
control,2021Q2,2021-05-30,60,187299,34792836
control,2021Q2,2021-05-31,61,624461,35417297
control,2021Q2,2021-06-01,62,841960,36259257
control,2021Q2,2021-06-02,63,844842,37104099
control,2021Q2,2021-06-03,64,808321,37912420
control,2021Q2,2021-06-04,65,724421,38636841
control,2021Q2,2021-06-05,66,192922,38829763
control,2021Q2,2021-06-06,67,194452,39024215
control,2021Q2,2021-06-07,68,847680,39871895
control,2021Q2,2021-06-08,69,898352,40770247
control,2021Q2,2021-06-09,70,902362,41672609
control,2021Q2,2021-06-10,71,901449,42574058
control,2021Q2,2021-06-11,72,776481,43350539
control,2021Q2,2021-06-12,73,195536,43546075
control,2021Q2,2021-06-13,74,189824,43735899
control,2021Q2,2021-06-14,75,806625,44542524
control,2021Q2,2021-06-15,76,903869,45446393
control,2021Q2,2021-06-16,77,855789,46302182
control,2021Q2,2021-06-17,78,879246,47181428
control,2021Q2,2021-06-18,79,696065,47877493
control,2021Q2,2021-06-19,80,173662,48051155
control,2021Q2,2021-06-20,81,183130,48234285
control,2021Q2,2021-06-21,82,805833,49040118
control,2021Q2,2021-06-22,83,896204,49936322
control,2021Q2,2021-06-23,84,874467,50810789
control,2021Q2,2021-06-24,85,847020,51657809
control,2021Q2,2021-06-25,86,718849,52376658
control,2021Q2,2021-06-26,87,189357,52566015
control,2021Q2,2021-06-27,88,179435,52745450
control,2021Q2,2021-06-28,89,813906,53559356
control,2021Q2,2021-06-29,90,855289,54414645
control,2021Q2,2021-06-30,91,856233,55270878
control,2021Q3,2021-07-01,1,858212,858212
control,2021Q3,2021-07-02,2,696012,1554224
control,2021Q3,2021-07-03,3,178691,1732915
control,2021Q3,2021-07-04,4,174603,1907518
control,2021Q3,2021-07-05,5,652417,2559935
control,2021Q3,2021-07-06,6,791890,3351825
control,2021Q3,2021-07-07,7,844639,4196464
control,2021Q3,2021-07-08,8,814455,5010919
control,2021Q3,2021-07-09,9,695487,5706406
control,2021Q3,2021-07-10,10,180372,5886778
control,2021Q3,2021-07-11,11,183564,6070342
control,2021Q3,2021-07-12,12,789949,6860291
control,2021Q3,2021-07-13,13,832535,7692826
control,2021Q3,2021-07-14,14,779267,8472093
control,2021Q3,2021-07-15,15,805876,9277969
control,2021Q3,2021-07-16,16,682462,9960431
control,2021Q3,2021-07-17,17,183364,10143795
control,2021Q3,2021-07-18,18,180159,10323954
control,2021Q3,2021-07-19,19,761760,11085714
control,2021Q3,2021-07-20,20,786421,11872135
control,2021Q3,2021-07-21,21,787649,12659784
control,2021Q3,2021-07-22,22,771140,13430924
control,2021Q3,2021-07-23,23,662813,14093737
control,2021Q3,2021-07-24,24,181899,14275636
control,2021Q3,2021-07-25,25,173789,14449425
control,2021Q3,2021-07-26,26,767253,15216678
control,2021Q3,2021-07-27,27,848355,16065033
control,2021Q3,2021-07-28,28,836656,16901689
control,2021Q3,2021-07-29,29,826090,17727779
control,2021Q3,2021-07-30,30,705218,18432997
control,2021Q3,2021-07-31,31,186484,18619481
control,2021Q3,2021-08-01,32,212500,18831981
control,2021Q3,2021-08-02,33,765446,19597427
control,2021Q3,2021-08-03,34,831288,20428715
control,2021Q3,2021-08-04,35,855435,21284150
control,2021Q3,2021-08-05,36,836843,22120993
control,2021Q3,2021-08-06,37,728070,22849063
control,2021Q3,2021-08-07,38,185856,23034919
control,2021Q3,2021-08-08,39,183408,23218327
control,2021Q3,2021-08-09,40,792752,24011079
control,2021Q3,2021-08-10,41,812808,24823887
control,2021Q3,2021-08-11,42,875898,25699785
control,2021Q3,2021-08-12,43,854327,26554112
control,2021Q3,2021-08-13,44,734628,27288740
control,2021Q3,2021-08-14,45,188246,27476986
control,2021Q3,2021-08-15,46,188890,27665876
control,2021Q3,2021-08-16,47,780330,28446206
control,2021Q3,2021-08-17,48,835351,29281557
control,2021Q3,2021-08-18,49,871271,30152828
control,2021Q3,2021-08-19,50,868722,31021550
control,2021Q3,2021-08-20,51,726514,31748064
control,2021Q3,2021-08-21,52,190268,31938332
control,2021Q3,2021-08-22,53,188989,32127321
control,2021Q3,2021-08-23,54,840603,32967924
control,2021Q3,2021-08-24,55,894461,33862385
control,2021Q3,2021-08-25,56,885914,34748299
control,2021Q3,2021-08-26,57,888415,35636714
control,2021Q3,2021-08-27,58,755850,36392564
control,2021Q3,2021-08-28,59,194943,36587507
control,2021Q3,2021-08-29,60,196239,36783746
control,2021Q3,2021-08-30,61,794954,37578700
control,2021Q3,2021-08-31,62,914613,38493313
control,2021Q3,2021-09-01,63,937465,39430778
control,2021Q3,2021-09-02,64,892802,40323580
control,2021Q3,2021-09-03,65,735319,41058899
control,2021Q3,2021-09-04,66,192660,41251559
control,2021Q3,2021-09-05,67,199452,41451011
control,2021Q3,2021-09-06,68,638611,42089622
control,2021Q3,2021-09-07,69,832744,42922366
control,2021Q3,2021-09-08,70,917115,43839481
control,2021Q3,2021-09-09,71,936237,44775718
control,2021Q3,2021-09-10,72,798463,45574181
control,2021Q3,2021-09-11,73,193747,45767928
control,2021Q3,2021-09-12,74,184138,45952066
control,2021Q3,2021-09-13,75,875205,46827271
control,2021Q3,2021-09-14,76,950727,47777998
control,2021Q3,2021-09-15,77,971872,48749870
control,2021Q3,2021-09-16,78,935465,49685335
control,2021Q3,2021-09-17,79,826137,50511472
control,2021Q3,2021-09-18,80,223055,50734527
control,2021Q3,2021-09-19,81,201823,50936350
control,2021Q3,2021-09-20,82,887216,51823566
control,2021Q3,2021-09-21,83,1002028,52825594
control,2021Q3,2021-09-22,84,1005316,53830910
control,2021Q3,2021-09-23,85,959912,54790822
control,2021Q3,2021-09-24,86,824980,55615802
control,2021Q3,2021-09-25,87,209018,55824820
control,2021Q3,2021-09-26,88,206472,56031292
control,2021Q3,2021-09-27,89,915553,56946845
control,2021Q3,2021-09-28,90,989711,57936556
control,2021Q3,2021-09-29,91,1002388,58938944
control,2021Q3,2021-09-30,92,937503,59876447
control,2021Q4,2021-10-01,1,800396,800396
control,2021Q4,2021-10-02,2,205800,1006196
control,2021Q4,2021-10-03,3,203252,1209448
control,2021Q4,2021-10-04,4,901975,2111423
control,2021Q4,2021-10-05,5,965324,3076747
control,2021Q4,2021-10-06,6,977102,4053849
control,2021Q4,2021-10-07,7,954712,5008561
control,2021Q4,2021-10-08,8,824583,5833144
control,2021Q4,2021-10-09,9,214756,6047900
control,2021Q4,2021-10-10,10,209181,6257081
control,2021Q4,2021-10-11,11,840455,7097536
control,2021Q4,2021-10-12,12,945098,8042634
control,2021Q4,2021-10-13,13,996769,9039403
control,2021Q4,2021-10-14,14,982600,10022003
control,2021Q4,2021-10-15,15,798402,10820405
control,2021Q4,2021-10-16,16,195381,11015786
control,2021Q4,2021-10-17,17,199784,11215570
control,2021Q4,2021-10-18,18,928517,12144087
control,2021Q4,2021-10-19,19,971599,13115686
control,2021Q4,2021-10-20,20,973619,14089305
control,2021Q4,2021-10-21,21,962254,15051559
control,2021Q4,2021-10-22,22,831708,15883267
control,2021Q4,2021-10-23,23,196554,16079821
control,2021Q4,2021-10-24,24,214086,16293907
control,2021Q4,2021-10-25,25,941092,17234999
control,2021Q4,2021-10-26,26,1003473,18238472
control,2021Q4,2021-10-27,27,967997,19206469
control,2021Q4,2021-10-28,28,951830,20158299
control,2021Q4,2021-10-29,29,807116,20965415
control,2021Q4,2021-10-30,30,195089,21160504
control,2021Q4,2021-10-31,31,200097,21360601
control,2021Q4,2021-11-01,32,830766,22191367
control,2021Q4,2021-11-02,33,934578,23125945
control,2021Q4,2021-11-03,34,973395,24099340
control,2021Q4,2021-11-04,35,937226,25036566
control,2021Q4,2021-11-05,36,826350,25862916
control,2021Q4,2021-11-06,37,211789,26074705
control,2021Q4,2021-11-07,38,215920,26290625
control,2021Q4,2021-11-08,39,970302,27260927
control,2021Q4,2021-11-09,40,1054807,28315734
control,2021Q4,2021-11-10,41,1020280,29336014
control,2021Q4,2021-11-11,42,895644,30231658
control,2021Q4,2021-11-12,43,828408,31060066
control,2021Q4,2021-11-13,44,205106,31265172
control,2021Q4,2021-11-14,45,203818,31468990
control,2021Q4,2021-11-15,46,990865,32459855
control,2021Q4,2021-11-16,47,1057751,33517606
control,2021Q4,2021-11-17,48,1015957,34533563
control,2021Q4,2021-11-18,49,1016090,35549653
control,2021Q4,2021-11-19,50,862425,36412078
control,2021Q4,2021-11-20,51,220330,36632408
control,2021Q4,2021-11-21,52,211187,36843595
control,2021Q4,2021-11-22,53,936311,37779906
control,2021Q4,2021-11-23,54,970257,38750163
control,2021Q4,2021-11-24,55,932863,39683026
control,2021Q4,2021-11-25,56,775640,40458666
control,2021Q4,2021-11-26,57,628723,41087389
control,2021Q4,2021-11-27,58,177828,41265217
control,2021Q4,2021-11-28,59,388945,41654162
control,2021Q4,2021-11-29,60,940402,42594564
control,2021Q4,2021-11-30,61,1046322,43640886
control,2021Q4,2021-12-01,62,1071116,44712002
control,2021Q4,2021-12-02,63,1010141,45722143
control,2021Q4,2021-12-03,64,900956,46623099
control,2021Q4,2021-12-04,65,231490,46854589
control,2021Q4,2021-12-05,66,206360,47060949
control,2021Q4,2021-12-06,67,953702,48014651
control,2021Q4,2021-12-07,68,1017739,49032390
control,2021Q4,2021-12-08,69,1025295,50057685
control,2021Q4,2021-12-09,70,1036213,51093898
control,2021Q4,2021-12-10,71,873736,51967634
control,2021Q4,2021-12-11,72,235106,52202740
control,2021Q4,2021-12-12,73,221100,52423840
control,2021Q4,2021-12-13,74,971864,53395704
control,2021Q4,2021-12-14,75,1087975,54483679
control,2021Q4,2021-12-15,76,1046437,55530116
control,2021Q4,2021-12-16,77,1013783,56543899
control,2021Q4,2021-12-17,78,897972,57441871
control,2021Q4,2021-12-18,79,229190,57671061
control,2021Q4,2021-12-19,80,204244,57875305
control,2021Q4,2021-12-20,81,882439,58757744
control,2021Q4,2021-12-21,82,941009,59698753
control,2021Q4,2021-12-22,83,869379,60568132
control,2021Q4,2021-12-23,84,733010,61301142
control,2021Q4,2021-12-24,85,370938,61672080
control,2021Q4,2021-12-25,86,141070,61813150
control,2021Q4,2021-12-26,87,163783,61976933
control,2021Q4,2021-12-27,88,477168,62454101
control,2021Q4,2021-12-28,89,546780,63000881
control,2021Q4,2021-12-29,90,541630,63542511
control,2021Q4,2021-12-30,91,486367,64028878
control,2021Q4,2021-12-31,92,299397,64328275
control,2022Q1,2022-01-01,1,164807,164807
control,2022Q1,2022-01-02,2,175294,340101
control,2022Q1,2022-01-03,3,645480,985581
control,2022Q1,2022-01-04,4,875642,1861223
control,2022Q1,2022-01-05,5,946807,2808030
control,2022Q1,2022-01-06,6,886405,3694435
control,2022Q1,2022-01-07,7,817543,4511978
control,2022Q1,2022-01-08,8,231339,4743317
control,2022Q1,2022-01-09,9,216987,4960304
control,2022Q1,2022-01-10,10,980283,5940587
control,2022Q1,2022-01-11,11,1126493,7067080
control,2022Q1,2022-01-12,12,1080357,8147437
control,2022Q1,2022-01-13,13,1071625,9219062
control,2022Q1,2022-01-14,14,902543,10121605
control,2022Q1,2022-01-15,15,256967,10378572
control,2022Q1,2022-01-16,16,228880,10607452
control,2022Q1,2022-01-17,17,873456,11480908
control,2022Q1,2022-01-18,18,1069143,12550051
control,2022Q1,2022-01-19,19,1143385,13693436
control,2022Q1,2022-01-20,20,1122738,14816174
control,2022Q1,2022-01-21,21,994485,15810659
control,2022Q1,2022-01-22,22,275274,16085933
control,2022Q1,2022-01-23,23,242821,16328754
control,2022Q1,2022-01-24,24,1077077,17405831
control,2022Q1,2022-01-25,25,1172819,18578650
control,2022Q1,2022-01-26,26,1057323,19635973
control,2022Q1,2022-01-27,27,1150161,20786134
control,2022Q1,2022-01-28,28,1023797,21809931
control,2022Q1,2022-01-29,29,279121,22089052
control,2022Q1,2022-01-30,30,248521,22337573
control,2022Q1,2022-01-31,31,1066396,23403969
control,2022Q1,2022-02-01,32,1219324,24623293
control,2022Q1,2022-02-02,33,1148943,25772236
control,2022Q1,2022-02-03,34,1181037,26953273
control,2022Q1,2022-02-04,35,1007448,27960721
control,2022Q1,2022-02-05,36,257337,28218058
control,2022Q1,2022-02-06,37,246071,28464129
control,2022Q1,2022-02-07,38,1128034,29592163
control,2022Q1,2022-02-08,39,1235422,30827585
control,2022Q1,2022-02-09,40,1222939,32050524
control,2022Q1,2022-02-10,41,1234969,33285493
control,2022Q1,2022-02-11,42,1064430,34349923
control,2022Q1,2022-02-12,43,283632,34633555
control,2022Q1,2022-02-13,44,264687,34898242
control,2022Q1,2022-02-14,45,1169972,36068214
control,2022Q1,2022-02-15,46,1263587,37331801
control,2022Q1,2022-02-16,47,1227256,38559057
control,2022Q1,2022-02-17,48,1231214,39790271
control,2022Q1,2022-02-18,49,1067382,40857653
control,2022Q1,2022-02-19,50,282612,41140265
control,2022Q1,2022-02-20,51,258174,41398439
control,2022Q1,2022-02-21,52,990561,42389000
control,2022Q1,2022-02-22,53,1171170,43560170
control,2022Q1,2022-02-23,54,1189190,44749360
control,2022Q1,2022-02-24,55,1154078,45903438
control,2022Q1,2022-02-25,56,1032390,46935828
control,2022Q1,2022-02-26,57,267436,47203264
control,2022Q1,2022-02-27,58,250293,47453557
control,2022Q1,2022-02-28,59,1127953,48581510
control,2022Q1,2022-03-01,60,1226613,49808123
control,2022Q1,2022-03-02,61,1213515,51021638
control,2022Q1,2022-03-03,62,1214307,52235945
control,2022Q1,2022-03-04,63,1038319,53274264
control,2022Q1,2022-03-05,64,275972,53550236
control,2022Q1,2022-03-06,65,258585,53808821
control,2022Q1,2022-03-07,66,1162211,54971032
control,2022Q1,2022-03-08,67,1240550,56211582
control,2022Q1,2022-03-09,68,1259376,57470958
control,2022Q1,2022-03-10,69,1212454,58683412
control,2022Q1,2022-03-11,70,1080896,59764308
control,2022Q1,2022-03-12,71,288403,60052711
control,2022Q1,2022-03-13,72,258221,60310932
control,2022Q1,2022-03-14,73,1200354,61511286
control,2022Q1,2022-03-15,74,1292194,62803480
control,2022Q1,2022-03-16,75,1253468,64056948
control,2022Q1,2022-03-17,76,1177827,65234775
control,2022Q1,2022-03-18,77,1046553,66281328
control,2022Q1,2022-03-19,78,267307,66548635
control,2022Q1,2022-03-20,79,267550,66816185
control,2022Q1,2022-03-21,80,1165888,67982073
control,2022Q1,2022-03-22,81,1263245,69245318
control,2022Q1,2022-03-23,82,1277480,70522798
control,2022Q1,2022-03-24,83,1277621,71800419
control,2022Q1,2022-03-25,84,1100864,72901283
control,2022Q1,2022-03-26,85,277160,73178443
control,2022Q1,2022-03-27,86,257108,73435551
control,2022Q1,2022-03-28,87,1238293,74673844
control,2022Q1,2022-03-29,88,1308234,75982078
control,2022Q1,2022-03-30,89,1317076,77299154
control,2022Q1,2022-03-31,90,1272195,78571349
control,2022Q2,2022-04-01,1,1141444,1141444
control,2022Q2,2022-04-02,2,272200,1413644
control,2022Q2,2022-04-03,3,256524,1670168
control,2022Q2,2022-04-04,4,1219686,2889854
control,2022Q2,2022-04-05,5,1315224,4205078
control,2022Q2,2022-04-06,6,1268037,5473115
control,2022Q2,2022-04-07,7,1345637,6818752
control,2022Q2,2022-04-08,8,1119530,7938282
control,2022Q2,2022-04-09,9,297096,8235378
control,2022Q2,2022-04-10,10,277602,8512980
control,2022Q2,2022-04-11,11,1278897,9791877
control,2022Q2,2022-04-12,12,2500329,12292206
control,2022Q2,2022-04-13,13,1341545,13633751
control,2022Q2,2022-04-14,14,2166022,15799773
control,2022Q2,2022-04-15,15,806773,16606546
control,2022Q2,2022-04-16,16,253674,16860220
control,2022Q2,2022-04-17,17,235292,17095512
control,2022Q2,2022-04-18,18,909340,18004852
control,2022Q2,2022-04-19,19,1573341,19578193
control,2022Q2,2022-04-20,20,1898485,21476678
control,2022Q2,2022-04-21,21,1928739,23405417
control,2022Q2,2022-04-22,22,1248651,24654068
control,2022Q2,2022-04-23,23,273666,24927734
control,2022Q2,2022-04-24,24,273426,25201160
control,2022Q2,2022-04-25,25,1189024,26390184
control,2022Q2,2022-04-26,26,1538738,27928922
control,2022Q2,2022-04-27,27,1348472,29277394
control,2022Q2,2022-04-28,28,1363274,30640668
control,2022Q2,2022-04-29,29,1129264,31769932
control,2022Q2,2022-04-30,30,281375,32051307
control,2022Q2,2022-05-01,31,321092,32372399
control,2022Q2,2022-05-02,32,1064104,33436503
control,2022Q2,2022-05-03,33,1233243,34669746
control,2022Q2,2022-05-04,34,1280234,35949980
control,2022Q2,2022-05-05,35,1328664,37278644
control,2022Q2,2022-05-06,36,1205019,38483663
control,2022Q2,2022-05-07,37,336115,38819778
control,2022Q2,2022-05-08,38,246105,39065883
control,2022Q2,2022-05-09,39,1342332,40408215
control,2022Q2,2022-05-10,40,1438581,41846796
control,2022Q2,2022-05-11,41,1444587,43291383
control,2022Q2,2022-05-12,42,1422820,44714203
control,2022Q2,2022-05-13,43,1229803,45944006
control,2022Q2,2022-05-14,44,327902,46271908
control,2022Q2,2022-05-15,45,337821,46609729
control,2022Q2,2022-05-16,46,1383982,47993711
control,2022Q2,2022-05-17,47,1509040,49502751
control,2022Q2,2022-05-18,48,1502176,51004927
control,2022Q2,2022-05-19,49,1473282,52478209
control,2022Q2,2022-05-20,50,1254500,53732709
control,2022Q2,2022-05-21,51,328199,54060908
